id,cosine_distance,euclidean_distance
4047,0.43626177310943604,0.8840236067771912
4048,0.5016201436519623,0.9706399440765381
4049,0.5000180006027222,0.965755045413971
4050,0.4784289598464966,0.9558908939361572
4051,0.4993360638618469,0.9547340869903564
4052,0.47935205698013306,0.9423324465751648
4053,0.536860466003418,0.9022320508956909
4054,0.4723818302154541,0.872241199016571
4055,0.5189147591590881,0.9334419369697571
4056,0.5235514640808105,0.9318720698356628
4057,0.4718490242958069,0.9381725192070007
4058,0.4552891254425049,0.8918053507804871
4059,0.45964115858078003,0.891467273235321
4060,0.47708678245544434,0.9407761096954346
4061,0.5145963728427887,0.9778524041175842
4062,0.46543365716934204,0.8940828442573547
4063,0.47145962715148926,0.920939564704895
4064,0.4850243330001831,0.8825969099998474
4065,0.5529882609844208,0.9950323700904846
4066,0.4892250895500183,0.926241934299469
4067,0.4928429126739502,0.9228385090827942
4068,0.49021291732788086,0.9191652536392212
4069,0.49206268787384033,0.9225467443466187
4070,0.45897752046585083,0.9042032361030579
4071,0.4907781481742859,0.952505886554718
4072,0.4805794358253479,0.8972357511520386
4073,0.42009449005126953,0.886406421661377
4074,0.44091522693634033,0.9121071100234985
4075,0.5009431838989258,0.9389213919639587
4076,0.48873066902160645,0.8483957052230835
4077,0.5100655853748322,0.9582942128181458
4078,0.4671766757965088,0.9141044020652771
4079,0.4759991765022278,0.9313703775405884
4080,0.41683804988861084,0.872597336769104
4081,0.49752581119537354,0.9760211110115051
4082,0.46204280853271484,0.9060899615287781
4083,0.5007864534854889,0.9338570833206177
4084,0.4684683680534363,0.8579211235046387
4085,0.5276215672492981,0.9745566844940186
4086,0.4613405466079712,0.9173550605773926
4087,0.4609377384185791,0.9278420209884644
4088,0.5035830140113831,0.9646500945091248
4089,0.5354964733123779,0.9347876906394958
4090,0.4658728837966919,0.9079791903495789
4091,0.5178581178188324,0.9659278988838196
4092,0.4865211248397827,0.9498108625411987
4093,0.5272961258888245,0.9633022546768188
4094,0.48583531379699707,0.9316243529319763
4095,0.5061431527137756,0.9646015763282776
4096,0.4811853766441345,0.9481973052024841
4097,0.4968907833099365,0.9621257781982422
4098,0.5286474525928497,0.9318550825119019
4099,0.5038276314735413,0.9440752267837524
4100,0.49604272842407227,0.9577316641807556
4101,0.5006794333457947,0.9600844383239746
4102,0.47646284103393555,0.8849474787712097
4103,0.5205460488796234,0.9777818918228149
4104,0.5081552267074585,0.9475674033164978
4105,0.47358280420303345,0.9062930345535278
4106,0.5124118626117706,0.9508482217788696
4107,0.4851802587509155,0.8902302980422974
4108,0.5117873251438141,0.8928514719009399
4109,0.5413484275341034,1.006468415260315
4110,0.49743419885635376,0.8781213760375977
4111,0.510682225227356,0.9592165946960449
4112,0.4789385199546814,0.9431281089782715
4113,0.4567646384239197,0.9138955473899841
4114,0.48756319284439087,0.9018362164497375
4115,0.4608255624771118,0.9111846685409546
4116,0.503529816865921,0.9266166090965271
4117,0.4981503486633301,0.9078799486160278
4118,0.4958401322364807,0.9437475204467773
4119,0.4530867338180542,0.8931401371955872
4120,0.4777107238769531,0.890753448009491
4121,0.47735750675201416,0.8545340299606323
4122,0.49583351612091064,0.9226747155189514
4123,0.5142620503902435,0.9410260915756226
4124,0.4773274064064026,0.9235514998435974
4125,0.5246393084526062,0.9545801877975464
4126,0.49047237634658813,0.8674933314323425
4127,0.4436722993850708,0.89806067943573
4128,0.518700361251831,0.9280381798744202
4129,0.5126408338546753,0.8959333896636963
4130,0.5436895191669464,0.9586658477783203
4131,0.4860619306564331,0.9364773035049438
4132,0.42784440517425537,0.8394468426704407
4133,0.5264983177185059,0.9576866030693054
4134,0.5044640600681305,0.9349740743637085
4135,0.5357886254787445,0.9766372442245483
4136,0.5025660991668701,0.9260618686676025
4137,0.4824022054672241,0.9446098208427429
4138,0.5946856439113617,0.9541335701942444
4139,0.4691697359085083,0.9138758778572083
4140,0.46426278352737427,0.9292206764221191
4141,0.4841082692146301,0.941206157207489
4142,0.45021307468414307,0.8863080143928528
4143,0.535733163356781,0.9419523477554321
4144,0.5085927248001099,0.9426527619361877
4145,0.541315495967865,0.9560359716415405
4146,0.4302636384963989,0.8862040638923645
4147,0.5380598306655884,0.9869256019592285
4148,0.527769148349762,0.969415009021759
4149,0.4622079133987427,0.9386720657348633
4150,0.46403050422668457,0.9239598512649536
4151,0.5120598077774048,0.945622444152832
4152,0.5116147994995117,0.9704805612564087
4153,0.4981729984283447,0.9773818254470825
4154,0.4933306574821472,0.919186532497406
4155,0.4887087345123291,0.907801628112793
4156,0.5393909215927124,0.9804061651229858
4157,0.4958064556121826,0.9635315537452698
4158,0.5133112370967865,0.9597110152244568
4159,0.5332280397415161,0.957560658454895
4160,0.5116332173347473,0.9315021634101868
4161,0.43834298849105835,0.8815026879310608
4162,0.6019287705421448,0.934101402759552
4163,0.46382272243499756,0.9173802137374878
4164,0.5575761497020721,0.9704945087432861
4165,0.4919264316558838,0.8924205899238586
4166,0.48507213592529297,0.9289596080780029
4167,0.5661847591400146,0.9818460941314697
4168,0.4740578532218933,0.8921404480934143
4169,0.5318522453308105,0.9323021769523621
4170,0.4599637985229492,0.8964574933052063
4171,0.46416306495666504,0.8916593194007874
4172,0.45981931686401367,0.9112979769706726
4173,0.5190244913101196,0.9392343163490295
